Experiment,State,test_balanced_accuracy,crossvalidate.features,model.n_estimators,model.max_depth,model.max_features,model.max_leaf_nodes,model.min_samples_leaf,model.min_weight_fraction_leaf,data/features.pkl,data/features_rank.pkl,data/train_features.pkl
cynic-rime,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
famed-pope,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
oared-zack,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fined-seer,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
warty-sous,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tamer-pith,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
union-chin,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sarky-dado,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
heady-outs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
runty-hoot,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
arced-ruin,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bared-rasp,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fluky-flex,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
amiss-froe,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
unmet-prob,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wersh-ball,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
undue-gest,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lucid-sech,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
loved-lira,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mangy-orfe,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dated-joss,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ruled-whey,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
saved-rits,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
winey-plop,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dazed-ally,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bitty-weys,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
coxal-curn,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
pasty-flab,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
kaput-whin,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
vagal-arks,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
crisp-vise,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
upper-dams,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
elite-cusp,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bandy-chin,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bifid-nibs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
prima-shad,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fusil-vise,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fussy-vies,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tuned-cigs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hired-colt,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
weird-lien,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mixed-upas,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
busty-ghat,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
proud-wind,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
peart-cows,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stiff-vans,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
shock-tans,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
based-aits,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
eerie-dent,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bonny-soke,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
riled-sail,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fussy-snob,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beery-torc,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
kooky-veep,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sonic-sups,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
aural-chin,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lived-lees,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
coaly-furl,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
joint-tire,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beamy-juba,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rutty-weep,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
crank-gest,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beige-dohs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
aulic-buoy,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
comic-barb,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hadal-self,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
welsh-gaur,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wiser-sida,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dorty-tola,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
calmy-tule,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
idled-vans,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
alone-doit,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
spiky-woes,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
muzzy-skip,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
heigh-baby,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tidal-poof,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
brisk-bate,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wiser-wise,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dress-poof,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rabic-rubs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hi-fi-whit,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
acerb-esse,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sudsy-rill,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beery-tort,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fetid-army,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hunky-duke,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
abuzz-tods,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fetal-sook,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
kooky-bond,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
keyed-veer,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
pyoid-iron,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
surgy-prep,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sooth-mash,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
filmy-farm,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
coaly-stew,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lurid-lava,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
picky-berk,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
naked-unau,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gruff-weys,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fishy-fond,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stout-moms,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wrier-mice,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
japan-kago,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bawdy-jags,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mated-hill,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
liege-kind,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rabid-divs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
faery-vies,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
briny-gust,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
jazzy-ords,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ledgy-wise,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lowly-dees,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beady-tils,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
nicer-yips,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lying-long,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
named-self,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
empty-rite,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tatty-jube,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
aspen-rail,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
added-vang,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ducky-data,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
cross-furl,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sound-ords,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beaut-fuzz,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
enate-gash,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bonny-sign,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
conic-dele,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
jazzy-doit,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hired-bean,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ahull-lots,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
farci-alap,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
extra-half,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
zonal-luke,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
local-veep,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
busty-gape,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
uveal-akes,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
vital-leak,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
raked-arcs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tacky-beak,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
flory-wool,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tiled-bots,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
young-kern,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fluid-rill,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
aglow-digs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bluff-jass,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
zonal-reif,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bawdy-bomb,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gamey-snap,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rival-mirk,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
young-digs,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hempy-shay,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
