Experiment,State,test_balanced_accuracy,crossvalidate.features,model.n_estimators,model.max_depth,model.max_features,model.max_leaf_nodes,model.min_samples_leaf,model.min_weight_fraction_leaf,model.class_weight,data/features.pkl,data/features_rank.pkl,data/train_features.pkl
focal-salt,Failed,0.7988791036255554,10,500,20,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bowed-esse,Failed,0.7988791036255554,10,200,20,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mossy-azan,Failed,0.7988791036255554,10,100,20,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
privy-noma,Failed,0.7988791036255554,10,50,20,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
macro-lulu,Failed,0.7988791036255554,10,1000,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
third-phon,Failed,0.7988791036255554,10,500,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
peppy-pony,Failed,0.7988791036255554,10,200,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sound-whop,Failed,0.7988791036255554,10,100,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
pagan-line,Failed,0.7988791036255554,10,50,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rarer-stay,Failed,0.7988791036255554,10,1000,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dural-ease,Failed,0.7988791036255554,10,500,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
grave-rede,Failed,0.7988791036255554,10,100,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
joint-love,Failed,0.7988791036255554,10,200,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
solid-agma,Failed,0.7988791036255554,10,50,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gouty-crib,Failed,0.7988791036255554,10,500,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
podgy-darg,Failed,0.7988791036255554,10,1000,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
beery-foil,Failed,0.7988791036255554,10,200,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
busty-sham,Failed,0.7988791036255554,10,100,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mardy-pony,Failed,0.7988791036255554,10,50,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
peaty-prep,Failed,0.7988791036255554,10,1000,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
withy-tare,Failed,0.7988791036255554,10,500,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
awful-wool,Failed,0.7988791036255554,10,200,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
genal-soya,Failed,0.7988791036255554,10,100,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
leady-rial,Failed,0.7988791036255554,10,50,20,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
unapt-aura,Failed,0.7988791036255554,10,500,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
proof-poof,Failed,0.7988791036255554,10,1000,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dusty-magi,Failed,0.7988791036255554,10,200,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
quasi-vacs,Failed,0.7988791036255554,10,100,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
forte-teds,Failed,0.7988791036255554,10,50,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
foggy-firm,Failed,0.7988791036255554,10,1000,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mossy-lamb,Failed,0.7988791036255554,10,500,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fired-tell,Failed,0.7988791036255554,10,200,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fired-stir,Failed,0.7988791036255554,10,100,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
treed-cors,Failed,0.7988791036255554,10,50,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
level-tuts,Failed,0.7988791036255554,10,1000,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
uncut-flip,Failed,0.7988791036255554,10,500,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
matte-impi,Failed,0.7988791036255554,10,200,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
party-leno,Failed,0.7988791036255554,10,100,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hyoid-yeuk,Failed,0.7988791036255554,10,50,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gushy-sook,Failed,0.7988791036255554,10,1000,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
strip-feme,Failed,0.7988791036255554,10,500,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
known-merk,Failed,0.7988791036255554,10,200,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
jazzy-alga,Failed,0.7988791036255554,10,100,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
manky-unau,Failed,0.7988791036255554,10,50,20,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
amuck-souk,Failed,0.7988791036255554,10,1000,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
flush-pour,Failed,0.7988791036255554,10,500,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
weeny-polo,Failed,0.7988791036255554,10,200,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
minus-ring,Failed,0.7988791036255554,10,100,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
faint-cart,Failed,0.7988791036255554,10,50,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
outer-kobs,Failed,0.7988791036255554,10,1000,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sober-wage,Failed,0.7988791036255554,10,200,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sewed-stew,Failed,0.7988791036255554,10,500,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
raked-rims,Failed,0.7988791036255554,10,100,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hexed-main,Failed,0.7988791036255554,10,1000,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
japan-gird,Failed,0.7988791036255554,10,50,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fewer-amie,Failed,0.7988791036255554,10,500,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
amuck-joey,Failed,0.7988791036255554,10,200,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
comfy-eyot,Failed,0.7988791036255554,10,100,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
chewy-mung,Failed,0.7988791036255554,10,50,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stray-doit,Failed,0.7988791036255554,10,500,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
olive-mash,Failed,0.7988791036255554,10,1000,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ninth-alap,Failed,0.7988791036255554,10,200,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hi-fi-colt,Failed,0.7988791036255554,10,100,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ebony-teds,Failed,0.7988791036255554,10,50,20,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
joint-kine,Failed,0.7988791036255554,10,1000,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bendy-rift,Failed,0.7988791036255554,10,500,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
washy-plum,Failed,0.7988791036255554,10,200,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
valid-pech,Failed,0.7988791036255554,10,100,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
forty-leas,Failed,0.7988791036255554,10,50,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hilly-spit,Failed,0.7988791036255554,10,500,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sooty-skip,Failed,0.7988791036255554,10,1000,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
finny-lier,Failed,0.7988791036255554,10,200,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
moony-wool,Failed,0.7988791036255554,10,50,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
north-bids,Failed,0.7988791036255554,10,100,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lathy-skis,Failed,0.7988791036255554,10,1000,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
quack-alap,Failed,0.7988791036255554,10,500,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
known-cant,Failed,0.7988791036255554,10,200,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wacky-rift,Failed,0.7988791036255554,10,100,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hexed-roma,Failed,0.7988791036255554,10,1000,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
truer-judo,Failed,0.7988791036255554,10,50,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stray-zone,Failed,0.7988791036255554,10,500,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
enate-pech,Failed,0.7988791036255554,10,200,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
unmet-salt,Failed,0.7988791036255554,10,100,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
felon-wain,Failed,0.7988791036255554,10,50,10,sqrt,,20,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
frore-grig,Failed,0.7988791036255554,10,1000,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lowse-orle,Failed,0.7988791036255554,10,500,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stray-maya,Failed,0.7988791036255554,10,100,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ceric-moit,Failed,0.7988791036255554,10,200,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
enemy-ices,Failed,0.7988791036255554,10,50,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
felon-envy,Failed,0.7988791036255554,10,1000,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
above-ball,Failed,0.7988791036255554,10,500,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
liked-poss,Failed,0.7988791036255554,10,200,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
surly-dohs,Failed,0.7988791036255554,10,100,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
macho-abac,Failed,0.7988791036255554,10,50,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dingy-jots,Failed,0.7988791036255554,10,1000,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lousy-toby,Failed,0.7988791036255554,10,500,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
crumb-moit,Failed,0.7988791036255554,10,200,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
piney-sena,Failed,0.7988791036255554,10,100,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rival-send,Failed,0.7988791036255554,10,1000,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sixty-yobs,Failed,0.7988791036255554,10,50,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tiled-jots,Failed,0.7988791036255554,10,500,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
newsy-line,Failed,0.7988791036255554,10,200,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mealy-gobs,Failed,0.7988791036255554,10,100,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ruled-scut,Failed,0.7988791036255554,10,50,10,sqrt,,10,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bosom-kina,Failed,0.7988791036255554,10,1000,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tubby-jots,Failed,0.7988791036255554,10,500,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
balmy-term,Failed,0.7988791036255554,10,200,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
acold-poss,Failed,0.7988791036255554,10,100,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
noisy-dunt,Failed,0.7988791036255554,10,1000,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mossy-knit,Failed,0.7988791036255554,10,50,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
spiry-cane,Failed,0.7988791036255554,10,500,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
later-oner,Failed,0.7988791036255554,10,200,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
newsy-tier,Failed,0.7988791036255554,10,100,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
crass-kifs,Failed,0.7988791036255554,10,50,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
jumpy-damn,Failed,0.7988791036255554,10,500,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
filmy-mene,Failed,0.7988791036255554,10,1000,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
flash-thar,Failed,0.7988791036255554,10,200,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bifid-eild,Failed,0.7988791036255554,10,50,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dizzy-gram,Failed,0.7988791036255554,10,100,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
skint-ados,Failed,0.7988791036255554,10,1000,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
potty-prad,Failed,0.7988791036255554,10,500,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
robed-upas,Failed,0.7988791036255554,10,200,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
woven-mere,Failed,0.7988791036255554,10,100,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
unmet-ciao,Failed,0.7988791036255554,10,50,10,sqrt,,5,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lamer-orle,Failed,0.7988791036255554,10,500,10,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
pesky-sail,Failed,0.7988791036255554,10,1000,10,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
small-hoot,Failed,0.7988791036255554,10,200,10,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lobar-flus,Failed,0.7988791036255554,10,50,10,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
